dati_definitivi_id	Sesso	Voto_LT	Voto_LM	Durata	Ricerca_PI	Tempo_PI	Fine_Studi	Major	Settore_PI	Phd	Luogo_PI	Retribuzione_PI	Cambio_Lavoro	Luogo_Phd	Retribuzione_Phd	PostDoc	Utilita_Phd	Settore_IA	Luogo_IA	Retribuzione_IA	Soddisfazione_Lavorativa	Soddisfazione_Laurea	Soddisfazione_Preparazione	Stage	Erasmus	Corsi_Extra	Comunicazione	Python
112	M	96	102	5.5	Autonomo	Immediato	2014	2	ICT	Si	NA	NA	NA	Europa	1600	No	1	Data_Science	Italia	1480	3	4	3	1	1	0	No	No
113	M	98	110	7	Contattato	Immediato	2019	2	Accademico	No	Italia	1400	No	NA	NA	NA	NA	NA	NA	NA	4	4	3	0	0	1	No	No
114	M	88	99	7	AIM	Immediato	2014	2	ICT	Si	NA	NA	NA	Europa	1800	No	1	NA	NA	NA	4	4	5	0	0	1	No	No
115	M	101	103	5	NA	Immediato	2009	3	Accademico	No	Italia	1100	Si	NA	NA	NA	NA	ICT	Italia	NA	4	4	3	1	0	1	Si	No
116	M	95	102	5	Phd_Tesi	Immediato	2013	3	RD	Si	NA	NA	NA	Europa	5600	No	3	RD	EU2	8000	5	5	4	1	0	1	No	No
117	M	111	111	6	Autonomo	Immediato	2017	2	Data_Science	No	EU3	2500	No	NA	NA	NA	NA	NA	NA	NA	5	4	5	1	1	1	Si	No
118	M	111	111	6.5	AIM	Immediato	2017	3	Accademico	Si	NA	NA	NA	Europa	2200	No	4	NA	NA	NA	4	4	3	1	1	1	No	No
119	M	96	104	5	CS	Veloce	2013	3	Accademico	No	Italia	1200	Si	NA	NA	NA	NA	SD	Italia	1700	3	4	2	0	0	0	No	No
120	M	99	111	5	Autonomo	Veloce	2006	3	Finanza	No	Italia	1100	Si	NA	NA	NA	NA	Finanza	EU2	18000	5	5	5	0	0	0	No	No
121	M	94	100	6	NA	Veloce	2011	2	Consulenza	No	Italia	1000	Si	NA	NA	NA	NA	Finanza	Italia	2750	4	4	4	0	0	0	Si	No
122	M	111	111	5.5	Autonomo	Veloce	2019	3	SD	No	Italia	1550	Si	NA	NA	NA	NA	SD	Italia	1600	5	5	5	0	0	0	No	No
123	M	95	111	5	Autonomo	Veloce	2017	2	ICT	No	Italia	1400	Si	NA	NA	NA	NA	SD	Italia	1600	4	5	3	0	0	0	No	No
124	M	100	109	5	Autonomo	Veloce	2014	3	RD	No	Italia	600	No	NA	NA	NA	NA	NA	NA	NA	5	5	4	0	0	0	No	No
125	M	107	111	7	Autonomo	Veloce	2015	1	Finanza	No	UK	3000	No	NA	NA	NA	NA	NA	NA	NA	4	4	4	1	0	0	No	Si
126	M	95	110	5	Autonomo	Veloce	2019	3	Accademico	Si	NA	NA	NA	Europa	1600	Boh	4	NA	NA	NA	5	5	5	1	1	0	No	No
127	M	100	110	5	Autonomo	Veloce	2016	2	SD	No	Italia	NA	Si	NA	NA	NA	NA	SD	Italia	NA	3	5	3	0	0	1	No	No
128	M	88	105	6	CS	Veloce	2014	1	Finanza	No	Italia	1200	No	NA	NA	NA	NA	NA	NA	NA	4	5	5	0	0	1	Si	No
129	M	99	101	6	Autonomo	Veloce	2013	3	Data_Science	No	Italia	NA	Si	NA	NA	NA	NA	Data_Science	Italia	NA	4	3	4	1	0	1	Si	No
130	M	106	110	6	Autonomo	Veloce	2016	3	Accademico	Si	NA	NA	NA	Europa	1400	Boh	5	NA	NA	NA	5	5	5	1	0	1	Si	No
131	M	111	110	6	AIM	Veloce	2009	2	NA	No	Italia	2500	Si	NA	NA	NA	NA	NA	Italia	45000	4	5	4	0	1	1	No	No
132	M	91	104	6	Contattato	Veloce	2013	2	Data_Science	No	Italia	NA	No	NA	NA	NA	NA	NA	NA	NA	5	4	3	0	1	1	No	No
133	M	104	103	7	Contattato	Veloce	2010	NA	Consulenza	No	Italia	1550	Si	NA	NA	NA	NA	NA	Italia	3100	4	4	5	1	1	1	Si	No
134	M	111	111	6	Autonomo	Veloce	2018	3	Accademico	Si	NA	NA	NA	Europa	NA	Boh	4	NA	NA	NA	5	5	4	1	1	1	No	No
135	M	90	90	7	CS	Medio	2017	1	Data_Science	No	Italia	1500	Si	NA	NA	NA	NA	Finanza	Italia	1800	4	3	3	1	0	0	Si	No
136	M	109	111	6	Contattato	Medio	2018	NA	Finanza	Si	NA	NA	NA	Polimi	1200	No	3	Finanza	NA	4000	4	4	5	0	1	0	No	No
137	M	111	111	5	Autonomo	Medio	2012	3	Accademico	Si	NA	NA	NA	Mondo	2100	Si	5	Accademico	EU1	2100	4	5	4	0	1	0	Si	No
138	M	85	87	7	CS	Medio	2019	3	ICT	No	Italia	1380	No	NA	NA	NA	NA	NA	NA	NA	4	4	3	0	0	1	No	No
139	M	105	110	7	Autonomo	Medio	2016	3	ICT	Si	NA	NA	NA	Polimi	1450	No	5	ICT	Italia	1900	5	5	5	1	0	1	Si	No
140	M	110	111	3	Autonomo	Lungo	2013	NA	Finanza	No	UK	3200	Si	NA	NA	NA	NA	Finanza	UK	8000	5	5	3	0	0	1	No	No
141	M	108	111	5	Contattato	Immediato	2019	2	Accademico	No	Italia	1400	No	NA	NA	NA	NA	NA	NA	NA	2	3	2	0	1	0	Si	Si
